Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
P7769,"Farbest Foods, Inc.",Huntingburg,IN,50,Young Turkey Carcasses,1.0
P8437,Koch's Turkey Farm,Tamaqua,PA,60,Young Turkey Carcasses,1.0
P850,"PRESTAGE FOODS of SC, LLC",Camden,SC,85,Young Turkey Carcasses,1.0
P9332,Diestel Turkey Ranch,Sonora,CA,5,Young Turkey Carcasses,1.0
P961,Cargill Meat Solutions,California,MO,35,Young Turkey Carcasses,1.0
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.",Mifflintown,PA,60,Comminuted Turkey,2.0
M13289+P963,Cargill Meat Solutions,Springdale,AR,35,Comminuted Turkey,3.0
M15841+P15841,DiRusso's Sausage Incorporated,Youngstown,OH,50,Comminuted Turkey,1.0
M17105+P17105,Uncle Charley's Sausage Co. LLC,Vandergrift,PA,60,Comminuted Turkey,1.0
M1791+P27353,"Best Chicago Meat Company, LLC",Chicago,IL,50,Comminuted Turkey,1.0
M18506+P18506,Pride Enterprise Food Products,Raiford,FL,85,Comminuted Turkey,1.0
M18726+P18726,La Bella Sausage,Brooksville,FL,85,Comminuted Turkey,2.0
M18866+P551,"Jennie-O Turkey Store Sales, LLC",Willmar,MN,25,Comminuted Turkey,1.0
M18909+P157,"Foster Poultry Farms, LLC",Turlock,CA,5,Comminuted Turkey,2.0
M190+P190+V190,"Jennie-O Turkey Store, Inc.",Barron,WI,25,Comminuted Turkey,2.0
M20935+P20935,"Michigan Turkey Producers Co-op, Inc.",Wyoming,MI,50,Comminuted Turkey,3.0
M21207+P21207+V21207,Lorentz Etc. Inc.,Cannon Falls,MN,25,Comminuted Turkey,1.0
M2130+P2130,Cooper Farms Processing,St. Henry,OH,50,Comminuted Turkey,1.0
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,60,Comminuted Turkey,1.0
M4027+P4027+V4027,NPC Processing Inc.,Shelburne,VT,60,Comminuted Turkey,1.0
M4398+P4398,"DiLuigi Foods, Inc",Danvers,MA,60,Comminuted Turkey,1.0
M4460+P4460+V4460,Great American Foods,Newark,NJ,80,Comminuted Turkey,1.0
M46205+P46205+V46205,Dakota Provisions - West,Huron,SD,25,Comminuted Turkey,2.0
M4686+P4686+V4686,"Arctic Foods USA, LLC",Washington,NJ,80,Comminuted Turkey,1.0
M46870+P46870,"Butterball, LLC",Raeford,NC,80,Comminuted Turkey,3.0
M4934+P4934,T&J Sausage Kitchen,Anaheim,CA,5,Comminuted Turkey,1.0
M5067+P5067,Kingsland Meat Distributors Inc.,Woodland Park,NJ,80,Comminuted Turkey,1.0
M5292+P5292,"G & L Meat Company, Inc.",North Syracuse,NY,60,Comminuted Turkey,1.0
M5351+P5351,Martin's Specialty Sausage Company Inc.,Mickleton,NJ,80,Comminuted Turkey,1.0
M579+P579+V579,Jennie-O Turkey Store,Faribault,MN,25,Comminuted Turkey,1.0
M5916+P5916+V5916,Longhini LLC,New Haven,CT,60,Comminuted Turkey,1.0
M6765+P6765,Wichita Packing Company,Chicago,IL,50,Comminuted Turkey,1.0
M7345+P7345,"Butterball, LLC",Mount Olive,NC,80,Comminuted Turkey,3.0
M751+P1049,Pitman Farms Inc. (Moroni Turkey Processing),Moroni,UT,15,Comminuted Turkey,2.0
M77+P77,"Maid-Rite Specialty Foods, Inc.",Dunmore,PA,60,Comminuted Turkey,1.0
M7877A+P7877A+V7877A,Rastelli,Swedsboro,NJ,80,Comminuted Turkey,1.0
M8727+P8727+V8727,"Butterball, LLC",Carthage,MO,35,Comminuted Turkey,3.0
M8983+P8983,"Sysco Western Minnesota, Inc.",St Cloud,MN,25,Comminuted Turkey,2.0
P1096A,"VPGC,LLC",Hinton,VA,80,Comminuted Turkey,1.0
P17734,Stonewood Farm Inc.,Orwell,VT,60,Comminuted Turkey,1.0
P18,Cargill Meat Solutions,Dayton,VA,80,Comminuted Turkey,3.0
P22000,"Prestage Foods, Inc.",St Pauls,NC,80,Comminuted Turkey,3.0
P244+V244A,Plainville Farms,New Oxford,PA,60,Comminuted Turkey,2.0
P286,Perdue Foods LLC,Washington,IN,50,Comminuted Turkey,3.0
P38466,Sensenig Turkey Farm LLC,Lititz,PA,60,Comminuted Turkey,2.0
P40345,Misty Lea Farm Poultry Processing,Pembroke,KY,90,Comminuted Turkey,1.0
P425A,Northern Pride Inc.,Thief River Falls,MN,25,Comminuted Turkey,1.0
P45131,"Farbest Foods, Inc.",Vincennes,IN,50,Comminuted Turkey,1.0
P7669,"Turkey Valley Farms, Inc.",Marshall,MN,25,Comminuted Turkey,1.0
P8437,Koch's Turkey Farm,Tamaqua,PA,60,Comminuted Turkey,2.0
P9332A,Diestel Turkey Ranch,Chinese Camp,CA,5,Comminuted Turkey,1.0
